index;x;y;z
234;-0.576859;0.153946;-0.200836
235;-0.513184;0.198395;-0.220688
236;-0.523636;0.253525;-0.229599
237;-0.650024;0.333740;-0.234070
238;-0.867493;0.378082;-0.282028
239;-1.073074;0.353363;-0.317963
240;-1.251846;0.428040;-0.381744
241;-1.381866;0.428696;-0.401306
242;-1.503342;0.638885;-0.439850
243;-1.457230;0.556702;-0.475449
244;-1.282013;0.341919;-0.526276
245;-1.214417;0.408707;-0.490219
246;-1.038513;0.363922;-0.403732
247;-0.767410;0.178101;-0.336380
248;-0.789230;0.344208;-0.298523
249;-0.813721;0.462219;-0.224167
250;-0.651382;0.349869;-0.260880
251;-0.622910;0.270660;-0.275284
252;-0.715012;0.334976;-0.219696
253;-0.786041;0.456848;-0.201691
254;-0.799515;0.550323;-0.206635
255;-0.898361;0.589417;-0.262970
256;-0.999985;0.582703;-0.258987
257;-0.946457;0.459015;-0.261826
258;-1.069977;0.407883;-0.253357
259;-1.162399;0.314316;-0.126740
260;-0.955887;0.155655;-0.170792
261;-0.732819;0.043320;-0.239990
262;-0.809280;0.037231;-0.312378
263;-0.773590;0.058044;-0.433029
264;-0.643188;-0.016724;-0.407394
265;-0.516434;-0.021561;-0.310089
266;-0.550430;0.007721;-0.295700
267;-0.662872;0.173462;-0.309753
268;-0.731476;0.265900;-0.333542
269;-0.914093;0.356323;-0.344360
270;-1.113113;0.396912;-0.265625
271;-1.187225;0.429062;-0.268829
272;-1.229568;0.484512;-0.246582
273;-1.300354;0.669952;-0.322968
274;-1.401764;0.790146;-0.348129
275;-1.321640;0.524506;-0.434769
276;-1.276733;0.398209;-0.545731
277;-1.154526;0.418716;-0.486847
278;-0.908920;0.221329;-0.408142
279;-0.831375;0.269012;-0.326828
280;-0.856430;0.451767;-0.265747
281;-0.692642;0.315033;-0.287750
282;-0.636673;0.238846;-0.272293
283;-0.643143;0.257492;-0.207031
284;-0.641144;0.357819;-0.176849
285;-0.657639;0.502594;-0.195572
286;-0.771744;0.673218;-0.266281
287;-1.006744;0.729324;-0.276810
288;-1.097443;0.693649;-0.329285
289;-1.199509;0.760132;-0.327042
290;-1.077637;0.719406;-0.324768
291;-0.925919;0.535950;-0.268127
292;-1.034317;0.526230;-0.120621
293;-0.985031;0.477982;-0.022095
294;-0.661591;0.217545;-0.013855
295;-0.482513;0.018661;-0.099976
296;-0.494141;0.055878;-0.135574
297;-0.484421;0.114349;-0.184174
298;-0.503601;0.176544;-0.229462
299;-0.687164;0.323853;-0.288605
300;-0.955307;0.453751;-0.322113
301;-1.188629;0.463669;-0.325195
302;-1.280014;0.429718;-0.351486
303;-1.344345;0.484009;-0.355377
304;-1.410339;0.625076;-0.294952
305;-1.396286;0.728180;-0.274109
306;-1.230530;0.514557;-0.302917
307;-1.117462;0.354248;-0.373016
308;-1.083466;0.427185;-0.334442
309;-0.922577;0.361145;-0.266144
310;-0.705414;0.206177;-0.219528
311;-0.713623;0.305038;-0.185287
312;-0.698853;0.331940;-0.171555
313;-0.654877;0.258255;-0.200592
314;-0.666077;0.214920;-0.203751
315;-0.674500;0.239746;-0.206070
316;-0.736877;0.391617;-0.218872
317;-0.808807;0.559235;-0.274231
318;-0.908768;0.611816;-0.342697
319;-1.060379;0.678574;-0.322861
320;-1.038666;0.644211;-0.314529
321;-1.033585;0.732986;-0.281418
322;-0.862854;0.647202;-0.257431
323;-0.817230;0.484116;-0.233337
324;-1.023209;0.548721;-0.153259
325;-1.016922;0.465408;-0.096024
326;-0.788818;0.213196;-0.061844
327;-0.612823;0.060150;-0.108505
328;-0.602905;0.114822;-0.114822
329;-0.642471;0.241531;-0.125488
330;-0.660309;0.311584;-0.151001
331;-0.678024;0.393173;-0.180115
332;-0.753082;0.470718;-0.188522
333;-0.814743;0.460266;-0.200180
334;-0.955505;0.484985;-0.220215
335;-1.165207;0.589874;-0.213516
336;-1.379730;0.552032;-0.228851
337;-1.517456;0.594772;-0.297775
338;-1.512863;0.438477;-0.435089
339;-1.425064;0.331390;-0.529663
340;-1.333633;0.395752;-0.533829
341;-1.040421;0.396530;-0.391388
342;-0.758667;0.244049;-0.301056
343;-0.775269;0.363129;-0.262253
344;-0.835754;0.562317;-0.229507
345;-0.736633;0.445709;-0.310730
346;-0.730621;0.360306;-0.341034
347;-0.746445;0.344788;-0.305923
348;-0.778656;0.479904;-0.279816
349;-0.827728;0.666611;-0.283585
350;-0.845840;0.713242;-0.291565
351;-0.860077;0.700211;-0.258957
352;-0.900757;0.739868;-0.219757
353;-0.879410;0.684708;-0.158966
354;-0.791687;0.568588;-0.131790
355;-0.855881;0.467880;-0.174072
356;-1.132126;0.596375;-0.171463
357;-1.047302;0.486893;-0.196259
358;-0.854568;0.247787;-0.194061
359;-0.788788;0.137589;-0.217117
360;-0.823074;0.145859;-0.325012
361;-0.830460;0.120346;-0.415802
362;-0.807327;0.094711;-0.460724
363;-0.904724;0.161621;-0.435898
364;-1.004852;0.175415;-0.348434
365;-1.060745;0.204987;-0.274963
366;-1.104340;0.242294;-0.246719
367;-1.205078;0.393051;-0.260544
368;-1.341095;0.575256;-0.352112
369;-1.419708;0.711655;-0.420410
370;-1.308884;0.695312;-0.456711
371;-1.298401;0.794724;-0.447800
372;-1.171021;0.705200;-0.413528
373;-0.897614;0.505859;-0.358322
374;-0.721619;0.357971;-0.292175
375;-0.702652;0.455841;-0.204529
376;-0.558380;0.365601;-0.177536
377;-0.453369;0.226700;-0.186249
378;-0.483627;0.217773;-0.156357
379;-0.559006;0.315201;-0.126404
380;-0.642151;0.460907;-0.152405
381;-0.811722;0.591949;-0.211563
382;-0.973495;0.659103;-0.283798
383;-1.051270;0.632248;-0.277740
384;-1.108398;0.740799;-0.247742
385;-0.968781;0.688644;-0.255096
386;-0.817230;0.522568;-0.291168
387;-1.094193;0.655014;-0.273972
388;-1.287048;0.687912;-0.143250
389;-1.002106;0.390961;-0.116165
390;-0.763565;0.118790;-0.110764
391;-0.680893;0.050522;-0.112961
392;-0.632324;0.070160;-0.113525
393;-0.581451;0.111343;-0.116135
